",3.000,"$10,000 to $14,999","1,107","+/-589","518","1,696"
"B19001I",4.000,"$15,000 to $19,999","3,003","+/-1,031","1,972","4,034"
"B19001I",5.000,"$20,000 to $24,999","3,672","+/-1,126","2,546","4,798"
"B19001I",6.000,"$25,000 to $29,999","4,849","+/-1,282","3,567","6,131"
"B19001I",7.000,"$30,000 to $34,999","2,341","+/-914","1,427","3,255"
"B19001I",8.000,"$35,000 to $39,999","4,227","+/-1,102","3,125","5,329"
"B19001I",9.000,"$40,000 to $44,999","4,899","+/-1,183","3,716","6,082"
"B19001I",10.000,"$45,
