14001A",.,"Universe:  White alone population 3 years and over",,,,
"B14001A",1.000,"Total:","533,842","+/-2,680","531,162","536,522"
"B14001A",2.000,"Enrolled in school:","116,398","+/-3,560","112,838","119,958"
"B14001A",3.000,"Enrolled in nursery school, kindergarten","11,828","+/-1,706","10,122","13,534"
"B14001A",4.000,"Enrolled in grade 1 to grade 8","50,476","+/-1,887","48,589","52,363"
"B14001A",5.000,"Enrolled in grade 9 to grade 12","28,702","+/-1,583","27,119","30,285"
"B14001A",6.000,"Enrolled in
