ment, and administrative and waste management services:","13,549","+/-1,989","11,560","15,538"
"B24050",17.000,"Professional, scientific, and technical services","6,909","+/-1,554","5,355","8,463"
"B24050",18.000,"Management of companies and enterprises","0","+/-265","0","265"
"B24050",19.000,"Administrative and support and waste management services","6,640","+/-1,452","5,188","8,092"
"B24050",20.000,"Educational services, and health care and social assistance:","54,007","+/-3,607","50,400","57,614"
"B24050
