insurance, and real estate and rental and leasing","670","+/-474","196","1,144"
"C24050",38.000,"Professional, scientific, and management, and administrative and waste management services","7,583","+/-1,401","6,182","8,984"
"C24050",39.000,"Educational services, and health care and social assistance","10,990","+/-1,993","8,997","12,983"
"C24050",40.000,"Arts, entertainment, and recreation, and accommodation and food services","29,615","+/-3,167","26,448","32,782"
"C24050",41.000,"Other services, except publ
