r more other races",139,"Female","47.2","+/-3.6","49.4","+/-5.5"
"003","White alone or in combination with one or more other races",140,"Entered 2000 or later","28.7","+/-3.6","24.4","+/-4.9"
"003","White alone or in combination with one or more other races",141,"Entered 1990 to 1999","30.6","+/-3.4","33.7","+/-5.2"
"003","White alone or in combination with one or more other races",142,"Entered before 1990","40.7","+/-3.2","41.9","+/-5.3"
"003","White alone or in combination with one or more other races",14
