ing, and forestry occupations","N","N","N","N"
"B24060",224.000,"Construction, extraction, maintenance, and repair occupations:","N","N","N","N"
"B24060",225.000,"Construction and extraction occupations","N","N","N","N"
"B24060",226.000,"Installation, maintenance, and repair occupations","N","N","N","N"
"B24060",227.000,"Production, transportation, and material moving occupations:","N","N","N","N"
"B24060",228.000,"Production occupations","N","N","N","N"
"B24060",229.000,"Transportation and material moving 
