nal, scientific, and technical services","505","+/-326","179","831"
"B24050",153.000,"Management of companies and enterprises","0","+/-292","0","292"
"B24050",154.000,"Administrative and support and waste management services","889","+/-609","280","1,498"
"B24050",155.000,"Educational services, and health care and social assistance:","888","+/-509","379","1,397"
"B24050",156.000,"Educational services","513","+/-261","252","774"
"B24050",157.000,"Health care and social assistance","375","+/-448","0","823"
"B2
