, physical, and social science occupations","112","+/-147","0","259"
"B24010I",43.000,"Community and social services occupations","970","+/-656","314","1,626"
"B24010I",44.000,"Legal occupations","1,020","+/-642","378","1,662"
"B24010I",45.000,"Education, training, and library occupations","3,314","+/-1,025","2,289","4,339"
"B24010I",46.000,"Arts, design, entertainment, sports, and media occupations","739","+/-370","369","1,109"
"B24010I",47.000,"Healthcare practitioner and technical occupations","1,689","+
