000,"$55,000 to $64,999","247","+/-233","14","480"
"B20005F",46.000,"$65,000 to $74,999","374","+/-393","0","767"
"B20005F",47.000,"$75,000 to $99,999","155","+/-135","20","290"
"B20005F",48.000,"$100,000 or more","534","+/-497","37","1,031"
"B20005F",49.000,"Female:","44,076","+/-3,278","40,798","47,354"
"B20005F",50.000,"Worked full-time, year-round in the past 12 months:","16,728","+/-1,953","14,775","18,681"
"B20005F",51.000,"No earnings","0","+/-283","0","283"
"B20005F",52.000,"With earnings:","16,728"
