4
.NONFAMILY HOUSEHOLDER,,,,,,,,,,
..Living alone,"2,726",19,142,702,501,320,662,265,71,45
..Living with nonrelatives,735,8,40,250,149,49,148,62,9,21
.RELATIVE OF HOUSEHOLDER,,,,,,,,,,
..Spouse,"10,284",91,429,"3,076","1,781","1,137","2,569",846,227,128
..Other,"1,938",54,206,961,274,128,251,56,4,3
.NONRELATIVE,,,,,,,,,,
..Nonrelative,"1,424",30,137,594,231,137,230,53,8,4
45 to 54 years,,,,,,,,,,
.Total,"30,203",411,"1,324","9,492","5,505","3,291","6,306","2,806",581,487
.FAMILY HOUSEHOLDER,,,,,,
