","6,531,907,500","+/-438,693,928","6,093,213,572","6,970,601,428"
"B20003",7.000,"Other","2,724,369,200","+/-234,313,264","2,490,055,936","2,958,682,464"
"B20004",.,"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER",,,,
"B20004",.,"Universe:  Population 25 years and over with earnings",,,,
"B20004",1.000,"Total:","47,037","+/-1,415","45,622","48,452"
"B20004",2.000,"Less than high school graduate","21,949","+/-2
