 to $44,999","1,282","+/-635","647","1,917"
"B19037A",28.000,"$45,000 to $49,999","868","+/-523","345","1,391"
"B19037A",29.000,"$50,000 to $59,999","3,304","+/-937","2,367","4,241"
"B19037A",30.000,"$60,000 to $74,999","5,315","+/-1,115","4,200","6,430"
"B19037A",31.000,"$75,000 to $99,999","6,856","+/-1,384","5,472","8,240"
"B19037A",32.000,"$100,000 to $124,999","5,951","+/-1,233","4,718","7,184"
"B19037A",33.000,"$125,000 to $149,999","3,270","+/-770","2,500","4,040"
"B19037A",34.000,"$150,000 to $199,9
