2%","0.6",
"DP03",6.0,"Armed Forces","0.2%","0.2","0.0%","0.1",
"DP03",7.0,"Not in labor force","45.8%","1.4","45.7%","1.1",
"DP03",7.3,,,,,,
"DP03",8.0,"Civilian labor force","83,796","2,290","84,402","1,738",
"DP03",9.0,"Unemployed","6.7","**","7.8","**",
"DP03",9.3,,,,,,
"DP03",10.0,"Females 16 years and over","78,967","520","79,160","431",
"DP03",11.0,"In labor force","50.4%","1.8","51.1%","1.6",
"DP03",12.0,"Civilian labor force","50.1%","1.8","51.1%","1.6",
"DP03",13.0,"Employed","47.6%","1.8","46.6%"
