11.000,"Householder 15 to 64 years","18,112","+/-1,966","16,146","20,078"
"B11010",12.000,"Householder 65 years and over","20,695","+/-1,408","19,287","22,103"
"B11010",13.000,"Not living alone:","4,516","+/-1,245","3,271","5,761"
"B11010",14.000,"Householder 15 to 64 years","4,265","+/-1,232","3,033","5,497"
"B11010",15.000,"Householder 65 years and over","251","+/-180","71","431"
"B11011",.,"HOUSEHOLD TYPE BY UNITS IN STRUCTURE",,,,
"B11011",.,"Universe:  Households",,,,
"B11011",1.000,"Total:","236,700",
