3.6","62.3","+/-33.6",,,,,,
"S1601",23.0,"65 years and over","333","+/-255","86.2","+/-25.1","13.8","+/-25.1",,,,,,
"S1601",23.3,,,,,,,,,,,,,
"S1601",23.5,"PERCENT IMPUTED",,,,,,,,,,,,
"S1601",24.0,"Language status","2.7","(X)","(X)","(X)","(X)","(X)",,,,,,
"S1601",25.0,"Language status (speak a language other than English)","0.6","(X)","(X)","(X)","(X)","(X)",,,,,,
"S1601",26.0,"Ability to speak English","2.6","(X)","(X)","(X)","(X)","(X)",,,,,,
"S1602",0.0,,,,,,,,,,,,,
"S1602",0.5,,"Linguistically isolate
