29","16,916","81,909","42,153","52,354","19,761","19,222","51,477"
.35 to 44 years ,"436,626","16,079","8,959","31,104","15,448","15,594","9,174","7,881","24,306"
.45 to 54 years ,"198,348","8,990","4,841","13,635","7,431","6,038","4,086","3,064","10,415"
.55 to 64 years ,"87,444","6,153","3,399","7,077","4,844","2,969","2,339","1,473","4,750"
.65 to 74 years ,"52,650","5,469","2,148","4,538","4,134","1,466","1,769",715,"2,843"
.75 and over ,"25,260","2,804","1,341","2,578","1,965",715,903,352,"1,607"