Population in Group Quarters",,,,
"B26001",1.000,"Total:","9,733","+/-627","9,106","10,360"
"B99011",.,"IMPUTATION OF SEX",,,,
"B99011",.,"Universe:  Total population",,,,
"B99011",1.000,"Total:","706,984","+/-292","706,692","706,984"
"B99011",2.000,"Imputed","3,091","+/-821","2,270","3,912"
"B99011",3.000,"Not imputed","703,893","+/-821","703,072","704,714"
"B99012",.,"IMPUTATION OF AGE",,,,
"B99012",.,"Universe:  Total population",,,,
"B99012",1.000,"Total:","706,984","+/-292","706,692","706,984"
"B99012"
