   15","Percent high school graduate or higher","          88.4","(NA)","          89.7","(NA)","           1.3","+/-1.3","no"
"        2","      16","Percent bachelor's degree or higher","          29.2","(NA)","          31.2","(NA)","           2.0","+/-2.3","no"
"        2","      17"," "," "," "," "," "," "," "," "
"        2","      17","MARITAL STATUS"," "," "," "," "," "," "," "
"        2","      17","     Males 15 years and over","       470,407","   100%","       469,621","   100%","         
