",43.000,"$35,000 to $39,999","4,568","+/-1,393","3,175","5,961"
"B19037A",44.000,"$40,000 to $44,999","3,913","+/-983","2,930","4,896"
"B19037A",45.000,"$45,000 to $49,999","4,001","+/-1,177","2,824","5,178"
"B19037A",46.000,"$50,000 to $59,999","7,674","+/-1,239","6,435","8,913"
"B19037A",47.000,"$60,000 to $74,999","9,044","+/-1,260","7,784","10,304"
"B19037A",48.000,"$75,000 to $99,999","11,708","+/-1,644","10,064","13,352"
"B19037A",49.000,"$100,000 to $124,999","8,615","+/-1,326","7,289","9,941"
"B190
