"
"B25098",.,"MORTGAGE STATUS BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS)",,,,
"B25098",.,"Universe:  Owner-occupied housing units",,,,
"B25098",1.000,"Total:","155,617","+/-3,522","152,095","159,139"
"B25098",2.000,"With a mortgage:","115,367","+/-3,518","111,849","118,885"
"B25098",3.000,"Less than $10,000","1,230","+/-408","822","1,638"
"B25098",4.000,"$10,000 to $24,999","3,686","+/-868","2,818","4,554"
"B25098",5.000,"$25,000 to $34,999","3,624","+/-972","2,652","4,59
