",16.0,"$100,000 to $149,999","6.9","+/-3.5",,,,,,,,,,
"S2507",17.0,"$150,000 or more","2.0","+/-1.8",,,,,,,,,,
"S2507",18.0,"Median household income (dollars)","31,744","+/-5,263",,,,,,,,,,
"S2507",18.3,,,,,,,,,,,,,
"S2507",18.5,"RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS",,,,,,,,,,,,
"S2507",19.0,"Less than 2.0","35.9","+/-6.1",,,,,,,,,,
"S2507",20.0,"2.0 to 2.9","14.3","+/-5.7",,,,,,,,,,
"S2507",21.0,"3.0 to 3.9","13.6","+/-5.2",,,,,,,,,,
"S2507",22.0,"4.0 or more","35.0","+/-5.7",,,,,,,,,,
