H",32.000,"Veteran","355","+/-309","46","664"
"B21001H",33.000,"Nonveteran","25,740","+/-495","25,245","26,235"
"B21001I",.,"SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER (HISPANIC OR LATINO)",,,,
"B21001I",.,"Universe: Hispanic or Latino civilian population 18 years and over",,,,
"B21001I",1.000,"Total:","N","N","N","N"
"B21001I",2.000,"Male:","N","N","N","N"
"B21001I",3.000,"18 to 34 years:","N","N","N","N"
"B21001I",4.000,"Veteran","N","N","N","N"
"B21001I",5.000,"Nonveteran"
