e or graduate school","1,074","+/-639","435","1,713"
"B14001G",7.000,"Not enrolled in school","7,472","+/-1,293","6,179","8,765"
"B14001H",.,"SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"B14001H",.,"Universe:  White alone, not Hispanic or Latino, population 3 years and over",,,,
"B14001H",1.000,"Total:","467,297","+/-11,354","455,943","478,651"
"B14001H",2.000,"Enrolled in school:","105,046","+/-5,659","99,387","110,705"
"B14001H",3.000
