143.000,"Unemployed","347","+/-339","8","686"
"B23001",144.000,"Not in labor force","11,247","+/-1,429","9,818","12,676"
"B23001",145.000,"60 and 61 years:","7,583","+/-1,058","6,525","8,641"
"B23001",146.000,"In labor force:","2,094","+/-568","1,526","2,662"
"B23001",147.000,"In Armed Forces","0","+/-265","0","265"
"B23001",148.000,"Civilian:","2,094","+/-568","1,526","2,662"
"B23001",149.000,"Employed","2,034","+/-538","1,496","2,572"
"B23001",150.000,"Unemployed","60","+/-101","0","161"
"B23001",151.000,
