031",.,"IMPUTATION OF HISPANIC OR LATINO ORIGIN",,,,
"B99031",.,"Universe:  Total population",,,,
"B99031",1.000,"Total:","788,398","+/-16,857","771,541","805,255"
"B99031",2.000,"Imputed","13,632","+/-3,233","10,399","16,865"
"B99031",3.000,"Not imputed","774,766","+/-16,752","758,014","791,518"
"B99051",.,"IMPUTATION OF CITIZENSHIP STATUS",,,,
"B99051",.,"Universe:  Total population",,,,
"B99051",1.000,"Total:","788,398","+/-16,857","771,541","805,255"
"B99051",2.000,"Native:","668,128","+/-15,543","652,5
