0.000,"No meals included in rent","4,100","+/-1,254","2,846","5,354"
"B25055",11.000,"Householder 75 years and over:","6,399","+/-1,392","5,007","7,791"
"B25055",12.000,"Meals included in rent","1,512","+/-428","1,084","1,940"
"B25055",13.000,"No meals included in rent","4,887","+/-1,322","3,565","6,209"
"B25056",.,"CONTRACT RENT",,,,
"B25056",.,"Universe:  Renter-occupied housing units",,,,
"B25056",1.000,"Total:","101,186","+/-5,442","95,744","106,628"
"B25056",2.000,"With cash rent:","98,396","+/-5,269",
