000US4818","1"," 35","           919","           162","         1,676"
"50000US4818","1"," 36","             0","             0","           540"
"50000US4818","1"," 37","             N","             N","             N"
"50000US4818","1"," 38","             N","             N","             N"
"50000US4818","1"," 39","             N","             N","             N"
"50000US4818","1"," 40","             N","             N","             N"
"50000US4818","1"," 41","        45,826","        35,659","
