7,500 to $19,999","3,582","+/-1,049","2,533","4,631"
"B20005A",14.000,"$20,000 to $22,499","8,316","+/-2,239","6,077","10,555"
"B20005A",15.000,"$22,500 to $24,999","4,284","+/-1,276","3,008","5,560"
"B20005A",16.000,"$25,000 to $29,999","10,939","+/-1,993","8,946","12,932"
"B20005A",17.000,"$30,000 to $34,999","10,986","+/-1,859","9,127","12,845"
"B20005A",18.000,"$35,000 to $39,999","9,052","+/-1,431","7,621","10,483"
"B20005A",19.000,"$40,000 to $44,999","8,193","+/-1,717","6,476","9,910"
"B20005A",20.00
