DP04",66.0,"Coal or coke","0.0%","0.1","0.1%","0.1",
"DP04",67.0,"Wood","0.4%","0.1","0.3%","0.1",
"DP04",68.0,"Solar energy","0.0%","0.1","0.0%","0.1",
"DP04",69.0,"Other fuel","0.2%","0.1","0.3%","0.1",
"DP04",70.0,"No fuel used","0.2%","0.1","0.2%","0.1",
"DP04",70.3,,,,,,
"DP04",70.5,"SELECTED CHARACTERISTICS",,,,,
"DP04",71.0,"Occupied housing units","237,501","1,730","239,592","1,396",
"DP04",72.0,"Lacking complete plumbing facilities","0.5%","0.2","0.6%","0.2",
"DP04",73.0,"Lacking complete kitchen f
