less occupants per room","247,546","+/-4,830","242,716","252,376"
"B25014B",3.000,"1.01 or more occupants per room","3,641","+/-988","2,653","4,629"
"B25014C",.,"OCCUPANTS PER ROOM (AMERICAN INDIAN AND ALASKA NATIVE ALONE HOUSEHOLDER)",,,,
"B25014C",.,"Universe:  Occupied housing units with a householder who is American Indian and Alaska Native alone",,,,
"B25014C",1.000,"Total:","4,831","+/-1,152","3,679","5,983"
"B25014C",2.000,"1.00 or less occupants per room","4,831","+/-1,152","3,679","5,983"
"B25014C"
