e","7,901","+/-1,627","6,274","9,528"
"C15002B",11.000,"Bachelor's degree or higher","6,681","+/-1,620","5,061","8,301"
"C15002C",.,"SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE)",,,,
"C15002C",.,"Universe:  American Indian and Alaska Native alone population 25 years and over",,,,
"C15002C",1.000,"Total:","N","N","N","N"
"C15002C",2.000,"Male:","N","N","N","N"
"C15002C",3.000,"Less than high school diploma","N","N","N","N"
"C15002C",4.000,"High 
