.,"SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER",,,,
"C15001",.,"Universe:  Population 18 years and over",,,,
"C15001",1.000,"Total:","598,117","+/-11,172","586,945","609,289"
"C15001",2.000,"Male:","290,250","+/-7,431","282,819","297,681"
"C15001",3.000,"18 to 24 years:","33,777","+/-2,798","30,979","36,575"
"C15001",4.000,"Less than high school graduate","7,356","+/-1,720","5,636","9,076"
"C15001",5.000,"High school graduate (includes equivalency)","11,940","+/-2,064","9,876",
