engineering, and mapping technicians","8,137","+/-1,648","6,489","9,785"
"B24020",25.000,"Life, physical, and social science occupations:","11,785","+/-1,592","10,193","13,377"
"B24020",26.000,"Life and physical scientists","5,514","+/-1,098","4,416","6,612"
"B24020",27.000,"Social scientists and related workers","4,479","+/-1,161","3,318","5,640"
"B24020",28.000,"Life, physical, and social science technicians","1,792","+/-651","1,141","2,443"
"B24020",29.000,"Community and social services occupations:","10
