000 to $49,999","25,073","+/-1,962","23,111","27,035"
"C20005H",10.000,"$50,000 to $74,999","19,711","+/-2,199","17,512","21,910"
"C20005H",11.000,"$75,000 or more","10,524","+/-1,330","9,194","11,854"
"C20005H",12.000,"Other:","132,056","+/-3,272","128,784","135,328"
"C20005H",13.000,"No earnings","87,484","+/-3,536","83,948","91,020"
"C20005H",14.000,"With earnings:","44,572","+/-2,775","41,797","47,347"
"C20005H",15.000,"$1 to $9,999 or loss","19,685","+/-2,154","17,531","21,839"
"C20005H",16.000,"$10,00
