alone or in combination with one or more other races",70,"Never married","26.3","+/-1.3","25.2","+/-1.3"
"003","White alone or in combination with one or more other races",71,"Female 15 years and over","285,071","+/-2,494","275,117","+/-2,182"
"003","White alone or in combination with one or more other races",72,"Now married, except separated","50.2","+/-1.8","50.9","+/-1.8"
"003","White alone or in combination with one or more other races",73,"Widowed","12.6","+/-0.8","12.8","+/-0.8"
"003","White alone or 
