.000,"Public administration","0","+/-265","0","265"
"B24070",82.000,"Private not-for-profit wage and salary workers:","13,563","+/-1,925","11,638","15,488"
"B24070",83.000,"Agriculture, forestry, fishing and hunting, and mining:","0","+/-265","0","265"
"B24070",84.000,"Agriculture, forestry, fishing and hunting","0","+/-265","0","265"
"B24070",85.000,"Mining","0","+/-265","0","265"
"B24070",86.000,"Construction","220","+/-191","29","411"
"B24070",87.000,"Manufacturing","80","+/-112","0","192"
"B24070",88.00
