X)","(X)","(X)","14.0","(X)",,,,,,
"S2504",0.0,,,,,,,,,,,,,
"S2504",0.5,,"Occupied housing units","Margin of Error","Owner-occupied housing units","Margin of Error","Renter-occupied housing units","Margin of Error",,,,,,
"S2504",1.0,"Occupied housing units","36,207","+/-1,628","27,744","+/-1,892","8,463","+/-1,503",,,,,,
"S2504",1.5,"UNITS IN STRUCTURE",,,,,,,,,,,,
"S2504",2.0,"1, detached","63.0","+/-3.5","66.5","+/-4.1","51.4","+/-7.5",,,,,,
"S2504",3.0,"1, attached","2.0","+/-1.2","2.3","+/-1.4","1.2","+
