.4","+/-14.0","43.3","+/-53.2",,,,
"S0802",98.0,"3 or more vehicles available","30.6","+/-4.6","30.8","+/-4.9","25.7","+/-14.7","56.7","+/-53.2",,,,
"S0802",98.3,,,,,,,,,,,,,
"S0802",98.5,"PERCENT IMPUTED",,,,,,,,,,,,
"S0802",99.0,"Means of transportation to work","3.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)",,,,
"S0802",100.0,"Time leaving home to go to work","9.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)",,,,
"S0802",101.0,"Travel time to work","7.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)",,,,
"S0802"
