5.000,"Production, transportation, and material moving occupations","353","+/-260","93","613"
"C24010B",.,"SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE)",,,,
"C24010B",.,"Universe:  Civilian employed Black or African American alone population 16 years and over",,,,
"C24010B",1.000,"Total:","8,639","+/-1,692","6,947","10,331"
"C24010B",2.000,"Male:","3,322","+/-993","2,329","4,315"
"C24010B",3.000,"Management, professional, and related occupations"
