,540","41,114","134,194"
"B24012",16.000,"Health technologists and technicians","-","**","**","**"
"B24012",17.000,"Service occupations:","21,522","+/-7,359","14,163","28,881"
"B24012",18.000,"Healthcare support occupations","20,434","+/-4,866","15,568","25,300"
"B24012",19.000,"Protective service occupations:","30,948","+/-53,006","-22,058","83,954"
"B24012",20.000,"Fire fighting and prevention, and other protective service workers including supervisors","19,427","+/-31,088","-11,661","50,515"
"B24012",21.
