n/1997/q2/,inq21997.tgz,1313873.nc,19970421,-19.4667,55.3500,3.00000,890.000,6.57000,27.4200,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1313874.nc,19970423,-20.3833,56.6333,3.00000,883.000,6.92000,27.3600,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1313875.nc,19970424,-19.8000,56.2667,3.00000,912.000,6.40000,27.1200,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1313876.nc,19970424,-19.4500,54.8000,3.00000,895.000,6.75000,27.3800,,
woce-uot,./data/basins/sc/indian/1997/q
