,"3 or more workers","168","+/-160","8","328"
"B17014",8.000,"Other families:","3,171","+/-951","2,220","4,122"
"B17014",9.000,"Male householder, no wife present:","600","+/-407","193","1,007"
"B17014",10.000,"No workers","274","+/-291","0","565"
"B17014",11.000,"1 worker","203","+/-243","0","446"
"B17014",12.000,"2 workers","123","+/-194","0","317"
"B17014",13.000,"3 or more workers","0","+/-292","0","292"
"B17014",14.000,"Female householder, no husband present:","2,571","+/-913","1,658","3,484"
"B17014",1
