19999 ,SHEEP & LAMBS UNSPECIFIED ,103 ,Tehama ,  ,  ,  ,  ,  ,360000
2007 ,419999 ,SHEEP & LAMBS UNSPECIFIED ,109 ,Tuolumne ,  ,  ,  ,  ,  ,159900
2007 ,419999 ,SHEEP & LAMBS UNSPECIFIED ,115 ,Yuba ,  ,  ,  ,  ,  ,95000
2007 ,419999 ,SHEEP & LAMBS UNSPECIFIED ,991 ,Sum of Others ,  ,  ,  ,  ,  ,440500
2007 ,419999 ,SHEEP & LAMBS UNSPECIFIED , 999, State Totals,0 ,  ,0 ,  ,    ,37682700
2007 ,412999 ,SHEEP LAMBS ,93 ,Siskiyou ,  ,  ,  ,  ,  ,528500
2007 ,412999 ,SHEEP LAMBS ,107 ,Tulare ,  ,  ,  ,  ,  
