ried women (widowed, divorced, and never married)","108","+/-127","9.2","+/-11.6"
"DP02",38.0,"Per 1,000 unmarried women","5","+/-7","(X)","(X)"
"DP02",39.0,"Per 1,000 women 15 to 50 years old","30","+/-16","(X)","(X)"
"DP02",40.0,"Per 1,000 women 15 to 19 years old","24","+/-30","(X)","(X)"
"DP02",41.0,"Per 1,000 women 20 to 34 years old","48","+/-30","(X)","(X)"
"DP02",42.0,"Per 1,000 women 35 to 50 years old","21","+/-22","(X)","(X)"
"DP02",42.3,,,,,
"DP02",42.5,"GRANDPARENTS",,,,
"DP02",43.0,"Number of 
