78299 ,TOMATOES PROCESSING ,13 ,Contra Costa ,1520 ,51.32 ,78000 ,64.21 ,TONS ,5008000
2007 ,378299 ,TOMATOES PROCESSING ,19 ,Fresno ,125000 ,34.86 ,4357000 ,79.26 ,TON ,345340000
2007 ,378299 ,TOMATOES PROCESSING ,31 ,Kings ,26041 ,45.12 ,1174970 ,60.00 ,TONS ,70498000
2007 ,378299 ,TOMATOES PROCESSING ,39 ,Madera ,5400 ,45.86 ,247644 ,59.00 ,TONS ,14611000
2007 ,378299 ,TOMATOES PROCESSING ,47 ,Merced ,18200 ,39.53 ,719516 ,64.06 ,TON ,46093000
2007 ,378299 ,TOMATOES PROCESSING ,67 ,Sacramento ,2169 
