",32.000,"Installation, maintenance, and repair occupations","9,433","+/-1,823","7,610","11,256"
"C24010",33.000,"Production, transportation, and material moving occupations:","27,342","+/-3,026","24,316","30,368"
"C24010",34.000,"Production occupations","8,838","+/-1,709","7,129","10,547"
"C24010",35.000,"Transportation and material moving occupations:","18,504","+/-2,458","16,046","20,962"
"C24010",36.000,"Supervisors, transportation and material moving workers, and other transportation workers except mot
