","Mexican",116,"No disability","88.3","+/-0.7","92.5","+/-2.1"
"401","Mexican",117,"Civilian population 65 years and over","100,375","+/-1,701","2,580","+/-892"
"401","Mexican",118,"With any disability","35.4","+/-2.3","49.5","+/-15.1"
"401","Mexican",119,"Population 1 year and over","792,342","+/-8,314","125,912","+/-5,662"
"401","Mexican",120,"Same house","79.9","+/-1.3","77.3","+/-4.3"
"401","Mexican",121,"Different house in the U.S.","19.4","+/-1.3","21.2","+/-4.2"
"401","Mexican",122,"Same county","12
