","N","N","0.3%","0.2","N"
"DP05",64.0,"Some other race","3.3%","0.4","3.3%","0.4",
"DP05",64.3,,,,,,
"DP05",64.5,"HISPANIC OR LATINO AND RACE",,,,,
"DP05",65.0,"Total population","672,919","3,933","685,030","4,218","*"
"DP05",66.0,"Hispanic or Latino (of any race)","9.5%","0.3","9.1%","0.2",
"DP05",67.0,"Mexican","1.1%","0.3","1.0%","0.2",
"DP05",68.0,"Puerto Rican","2.0%","0.3","2.0%","0.3",
"DP05",69.0,"Cuban","0.4%","0.1","0.3%","0.1",
"DP05",70.0,"Other Hispanic or Latino","5.9%","0.5","5.8%","0.4",
"D
