4,999","1,260","+/-792","468","2,052"
"B19037I",41.000,"$25,000 to $29,999","1,071","+/-596","475","1,667"
"B19037I",42.000,"$30,000 to $34,999","609","+/-356","253","965"
"B19037I",43.000,"$35,000 to $39,999","1,437","+/-737","700","2,174"
"B19037I",44.000,"$40,000 to $44,999","1,036","+/-525","511","1,561"
"B19037I",45.000,"$45,000 to $49,999","1,002","+/-565","437","1,567"
"B19037I",46.000,"$50,000 to $59,999","1,130","+/-490","640","1,620"
"B19037I",47.000,"$60,000 to $74,999","1,906","+/-670","1,236","
