,"20 to 24 years","14,304","+/-2,455","11,849","16,759"
"B07401",54.0000,"25 to 29 years","12,473","+/-1,990","10,483","14,463"
"B07401",55.0000,"30 to 34 years","5,225","+/-1,081","4,144","6,306"
"B07401",56.0000,"35 to 39 years","4,450","+/-1,096","3,354","5,546"
"B07401",57.0000,"40 to 44 years","5,303","+/-1,371","3,932","6,674"
"B07401",58.0000,"45 to 49 years","3,664","+/-1,175","2,489","4,839"
"B07401",59.0000,"50 to 54 years","2,584","+/-800","1,784","3,384"
"B07401",60.0000,"55 to 59 years","1,489"
