6.000,"Asian alone","172","+/-157","15","329"
"B03002",17.000,"Native Hawaiian and Other Pacific Islander alone","283","+/-372","0","655"
"B03002",18.000,"Some other race alone","10,725","+/-3,277","7,448","14,002"
"B03002",19.000,"Two or more races:","1,950","+/-1,547","403","3,497"
"B03002",20.000,"Two races including Some other race","1,681","+/-1,508","173","3,189"
"B03002",21.000,"Two races excluding Some other race, and three or more races","269","+/-278","0","547"
"B04001",.,"FIRST ANCESTRY REPORTED"
