,"Universe:  Workers 16 years and over",,,,
"B08006",1.000,"Total:","211,137","+/-6,161","204,976","217,298"
"B08006",2.000,"Car, truck, or van:","194,722","+/-6,157","188,565","200,879"
"B08006",3.000,"Drove alone","171,812","+/-5,863","165,949","177,675"
"B08006",4.000,"Carpooled:","22,910","+/-2,392","20,518","25,302"
"B08006",5.000,"In 2-person carpool","18,760","+/-2,187","16,573","20,947"
"B08006",6.000,"In 3-person carpool","1,996","+/-625","1,371","2,621"
"B08006",7.000,"In 4-or-more-person carpool"
