000,"12th grade, no diploma","5,175","+/-1,068","4,107","6,243"
"B15002",11.000,"High school graduate (includes equivalency)","47,769","+/-3,571","44,198","51,340"
"B15002",12.000,"Some college, less than 1 year","10,233","+/-1,752","8,481","11,985"
"B15002",13.000,"Some college, 1 or more years, no degree","31,794","+/-2,624","29,170","34,418"
"B15002",14.000,"Associate's degree","16,970","+/-2,060","14,910","19,030"
"B15002",15.000,"Bachelor's degree","63,019","+/-3,338","59,681","66,357"
"B15002",16.000,
