$22,499","2,661","+/-870","1,791","3,531"
"B20005H",38.000,"$22,500 to $24,999","1,138","+/-502","636","1,640"
"B20005H",39.000,"$25,000 to $29,999","3,104","+/-1,135","1,969","4,239"
"B20005H",40.000,"$30,000 to $34,999","2,723","+/-878","1,845","3,601"
"B20005H",41.000,"$35,000 to $39,999","1,614","+/-560","1,054","2,174"
"B20005H",42.000,"$40,000 to $44,999","1,912","+/-571","1,341","2,483"
"B20005H",43.000,"$45,000 to $49,999","1,346","+/-645","701","1,991"
"B20005H",44.000,"$50,000 to $54,999","1,154",
