,4 E AMORY,MONROE,MS,33.99,-88.41,POWER LINES DOWN IN THE HATLEY COMMUNITY. (MEG)
1935,UNK,TREMONT,ITAWAMBA,MS,34.23,-88.25,TREES DOWN ON PATTON FLAT ROAD (MEG)
1940,UNK,FORT VALLEY,PEACH,GA,32.55,-83.89,SEVERAL TREES AND POWER LINES DOWN ACROSS THE COUNTY. (FFC)
1942,62,2 NE WARNER ROBINS,HOUSTON,GA,32.63,-83.61,OBSERVED BY WEATHER OBSERVER AT ROBINS AFB. (FFC)
1949,UNK,COLUMBUS,LOWNDES,MS,33.51,-88.4,CD REPORTED TREE DOWN...ALSO TWO HOMES STRUCK BY LIGHTNING (JAN)
1950,UNK,SMITHS STATION,LEE,AL,32.54,-85.
