,39,"Child","26.2","+/-0.8","28.6","+/-2.5"
"535","German (032-045)",40,"Other relatives","5.4","+/-0.6","5.3","+/-2.1"
"535","German (032-045)",41,"Nonrelatives","5.5","+/-0.7","2.8","+/-1.3"
"535","German (032-045)",42,"Unmarried partner","2.2","+/-0.3","1.6","+/-0.8"
"535","German (032-045)",43,"Households","270,918","+/-3,719","36,858","+/-3,201"
"535","German (032-045)",44,"Family households","66.6","+/-1.5","65.2","+/-3.5"
"535","German (032-045)",45,"With own children under 18 years","28.0","+/-1.3",
