$199,999","N","N","N","N"
"B19001G",17.000,"$200,000 or more","N","N","N","N"
"B19001H",.,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",,,,
"B19001H",.,"Universe:  Households with a householder who is White alone, not Hispanic or Latino",,,,
"B19001H",1.000,"Total:","15,088","+/-1,439","13,649","16,527"
"B19001H",2.000,"Less than $10,000","519","+/-421","98","940"
"B19001H",3.000,"$10,000 to $14,999","601","+/-369","232","970"
