,999","6,687","+/-1,351","5,336","8,038"
"B20005H",22.000,"$55,000 to $64,999","7,562","+/-1,384","6,178","8,946"
"B20005H",23.000,"$65,000 to $74,999","5,462","+/-1,168","4,294","6,630"
"B20005H",24.000,"$75,000 to $99,999","6,457","+/-1,096","5,361","7,553"
"B20005H",25.000,"$100,000 or more","4,067","+/-988","3,079","5,055"
"B20005H",26.000,"Other:","132,056","+/-3,272","128,784","135,328"
"B20005H",27.000,"No earnings","87,484","+/-3,536","83,948","91,020"
"B20005H",28.000,"With earnings:","44,572","+/-
