,,,,
...Native child and parent," 54,834 "," 37,057 ", 553 , 507 ," 5,174 "," 1,993 "," 6,575 ", 129 , 115 ," 1,391 ", 297 ," 1,043 ", - 
...Native child and foreign born parent," 12,706 "," 10,435 ", 171 , 77 , 491 , 424 , 722 , 84 , 12 , 88 , 18 , 184 , - 
...Foreign-born child and parent," 2,599 "," 2,084 ", 59 , 37 , 88 , 118 , 126 , 30 , 11 , 13 , 12 , 21 , - 
...Foreign-born child and native born parent, 141 , 86 , 6 , - , 16 , 3 , 20 , - , - , 2 , - , 8 , - 
"...Native child, no parents present"
