plumbers, pipefitters, and steamfitters","735","+/-477","258","1,212"
"B24010",101.000,"Construction trades workers except carpenters, electricians, painters, plumbers, and construction laborers","4,162","+/-1,355","2,807","5,517"
"B24010",102.000,"Other construction workers and helpers","1,958","+/-1,173","785","3,131"
"B24010",103.000,"Extraction workers","60","+/-97","0","157"
"B24010",104.000,"Installation, maintenance, and repair occupations:","9,433","+/-1,823","7,610","11,256"
"B24010",105.000,"Vehic
