RS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"B21001H",.,"Universe: White alone, not Hispanic or Latino civilian population 18 years and over",,,,
"B21001H",1.000,"Total:","387,754","+/-8,482","379,272","396,236"
"B21001H",2.000,"Male:","188,449","+/-5,653","182,796","194,102"
"B21001H",3.000,"18 to 34 years:","48,827","+/-3,282","45,545","52,109"
"B21001H",4.000,"Veteran","2,660","+/-820","1,840","3,480"
"B21001H",5.000,"Nonveteran","46,167","+/-3,354","42,813","49,521"
"B21001H",6.000,"35 to 54 
