00 to $299,999","8.8","+/-2.2",,,,,,,,,,
"S2506",7.0,"$300,000 to $499,999","43.0","+/-3.6",,,,,,,,,,
"S2506",8.0,"$500,000 or more","41.7","+/-3.4",,,,,,,,,,
"S2506",9.0,"Median (dollars)","472,600","+/-9,986",,,,,,,,,,
"S2506",9.3,,,,,,,,,,,,,
"S2506",9.5,"MORTGAGE STATUS",,,,,,,,,,,,
"S2506",10.0,"With either a second mortgage, or home equity loan, but not both","17.2","+/-2.5",,,,,,,,,,
"S2506",11.0,"Second mortgage only","4.6","+/-1.4",,,,,,,,,,
"S2506",12.0,"Home equity loan only","12.5","+/-2.1",,,,,
