walked, or other means:","1,851","+/-795","1,056","2,646"
"C08113",22.000,"Speak only English","1,346","+/-714","632","2,060"
"C08113",23.000,"Speak language other than English:","505","+/-377","128","882"
"C08113",24.000,"Speak English ""very well""","56","+/-93","0","149"
"C08113",25.000,"Speak English less than ""very well""","449","+/-369","80","818"
"C08113",26.000,"Worked at home:","2,152","+/-780","1,372","2,932"
"C08113",27.000,"Speak only English","1,747","+/-674","1,073","2,421"
"C08113",28.000,"S
