,"Universe:  White alone, not Hispanic or Latino, population 3 years and over",,,,
"B14001H",1.000,"Total:","2,985,045","+/-8,946","2,976,099","2,993,991"
"B14001H",2.000,"Enrolled in school:","777,230","+/-7,989","769,241","785,219"
"B14001H",3.000,"Enrolled in nursery school, kindergarten","87,236","+/-3,822","83,414","91,058"
"B14001H",4.000,"Enrolled in grade 1 to grade 8","312,898","+/-3,631","309,267","316,529"
"B14001H",5.000,"Enrolled in grade 9 to grade 12","171,311","+/-3,537","167,774","174,848"
